nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
805575;502478;202207;1;999;5;1989;32;3;72;5;3;0;1;4;1;3;1;-13; ;-13;-13; ;13;13; ; ;4;2;2;0;2;0;0
805584;570675;202207;2;999;1;1946;75;7;75;1;0;0;4;1;2;1;9;2115;2115;1960;1960;1960;5;4;2115;1960;4;4;4;1;7;0;0
805590;519064;202207;2;999;5;2009;13;1;47;4;2;1;5;3;1;1;7;0;0;0;0;0;0;0;6325;4800;1;8;1;1;2; ;0
805603;530175;202207;1;999;1;1952;69;7;69;2;0;1;1;2;1;5;9;2400;2400;1900;1900;1900;5;4;5600;4300;4;4;4;1;2;0;0
805618;575582;202207;2;999;2;1959;62;6;57;2;0;1;1;2;1;4;1;4800;4800;3170;3170;3170;10;7;9600;6415;5;5;5;0;2; ;0
805628;539492;202207;2;999;5;2019;3;1;34;3;1;1;5;3;2; ;14;0;0;0;0;0;0;0;4338,837172;3218;9;9; ;1;9; ;0
805629;563767;202207;2;999;5;2014;7;1;34;7;5;1;5;3;2;4;7;0;0;0;0;0;0;0;4100;3520;1;8;1;1;9; ;0
805643;507209;202207;1;1;1;1933;88;7;88;2;0;1;1;2;1;1;9;7000;7000;5500;5500;5500;11;11;8200;6425;5;5;5;1;10;0;0
805650;555167;202207;1;999;5;2014;8;1;47;4;2;1;5;3;1;1;7;0;0;0;0;0;0;0; ; ;1;8;1;1;9; ;0
805652;558085;202207;1;1;1;1960;62;6;62;2;0;1;1;2;1;5;1;-13;4540,496526;2850;2850;2850;13;6;5908,115872;3867;4;4;4;1;10;0;0
